,,merge,quick
ascending,1,23.8,7.4
ascending,1.25,39.2,18.2
ascending,1.5,81.6,49
ascending,1.75,53.4,76.2
ascending,2,32.6,88.4
ascending,2.25,58.2,254.8
ascending,2.5,118.2,939.6
ascending,2.75,171.6,2183.8
ascending,3,235.2,2044.8
ascending,3.25,478,846
ascending,3.5,773.2,3376.8
ascending,3.75,1240.2,9678.4
ascending,4,1717.6,28531.8
ascending,4.25,3108,85049.8
ascending,4.5,2606,232156.6
ascending,4.75,5582.6,565805.4
ascending,5,8621.2,1899149.8
,,merge,quick
descending,1,0.2,2.2
descending,1.25,0.6,0.2
descending,1.5,1.2,1
descending,1.75,3.2,2.6
descending,2,5.8,7.8
descending,2.25,7.6,18
descending,2.5,13.4,43.2
descending,2.75,27.2,126.8
descending,3,49.2,385
descending,3.25,79.6,1097.6
descending,3.5,143.6,3322
descending,3.75,342.8,11401.2
descending,4,531.8,35429.4
descending,4.25,1104.8,121972.2
descending,4.5,1959,375016.8
descending,4.75,3998.4,1210453.4
descending,5,7234.4,3568482
,,merge,quick
random,1,0.8,0
random,1.25,1.2,0.8
random,1.5,2,1
random,1.75,4.2,3
random,2,8.2,6
random,2.25,16.4,15.6
random,2.5,30.4,22.8
random,2.75,57.8,43.2
random,3,116.2,88.4
random,3.25,215.4,162.6
random,3.5,426,311.2
random,3.75,884.8,589.2
random,4,1645.6,1178.8
random,4.25,2861.8,2067.4
random,4.5,4568.2,3172.2
random,4.75,8483.8,5585.2
random,5,15561.8,12069.4
